"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Syt9"	5.51212	6.61455	0	13.7803	26.4582	0	8.51991	8	10.9931	8.26818	12	8.26818	71.6576	0
"Sytl1"	2.54723	4.30132	5	7.96552	0.942971	0	7	6.71212	10.3654	8.21633	3	0.942971	4	5
"Sytl2"	28.10904	58.885594743	31.77048	17.99	42.5818	13.59594269	6.3148163	42.58347	28.93128	20.195520442644	22.76042	12.5233	32.98072	23.74604
"Sytl3"	0	0	1	2	0	0	0	0	0	0	0	0	1	0
"Sytl4"	15.99996	42.45452	28.96656	14.00001	18.000018	11	24.00004	35	20	11.549709	18.53987	7.999995	15	15.99999
"Sytl5"	1	1	0	0	0	0	0	0	0	0	1	0	1	0
"Syvn1"	280.239860233542	659.251790047508	326.8147892	373.39087	313.9682	322.161	252.306400024294	323.0661	315.7861257179	341.022680017596	259.55765	266.38106	325.99093447	314.8305688
"Szrd1"	658.11	1332.095	884.8158	806.881949	713.6873	643.5062	587.024	653.593	606.31644687	611.465	786.5833	601.4749	691.549	801.345
"Szt2"	348.172	533.344	313.7	61.2145	273.935	352.275	250.784	362.439	92.9192	334.515	215.781	274.358	291.009	328.094
"T"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"T2"	3.00146	2.00098	1.00691	2.00103	0	2	0	3.313374	1	1.00143	1.53078	0	0	1.37982
"Taar1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar7a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar7b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar7d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar7e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar7f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar8a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar8b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar8c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taar9"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tab1"	244.31	476.739	296.74	310	279.508	301.761	196.368	278.229	280.094	288.828	246.174	187.37	199.949	221.43
"Tab2"	1651.06827	3860.644	2112.49	1770.2525	2218.941	1584.171	1894.141	1968.58256	1277.9419	1102.01025	1732.275	1660.14263	2124.44232	2242.263
"Tab3"	135	219	161	116	147	129	127	178	104	135.99998	114	124	139	151
"Tac1"	1	5	1	4	1	3	4	2	6	0	5	8.000001	2	5
"Tac2"	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"Tac4"	4	5	1	0	4	2	1	0	1	7	3	0	4	3
"Tacc1"	367.9711	750.55847	467.024	322.9287	331.122	392.918	309.12163	661.39684	271.97652	227.9348	295.6577	298.69517	394.40372	349.02723
"Tacc2"	8562.01380248	17422.5914	10088.7226	8425.72550001573	12992.3498	8281.86500282363	7344.53300012982	4487.0187	6826.795113	6087.3681003994	5813.0813	6436.7633	10436.3915	9649.0978
"Tacc3"	72.00074	89.648652899	60.27234	76.30053	39.000016	61.05495	54.231700374822	58.00004	125.99998	51.99889	50.13615	49.5379213164	43.40457	62.56237
"Taco1"	475	950	637	339	531	506	419	472	475	341	483	359	478	479
"Tacr1"	3.04358	5.39611	2.78061	5.00303	3.46285	0	3.5809600141346	14.2697000118474	2.26162	4.94038	4.366190019595	0	5.27945	4.46368
"Tacr2"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Tacr3"	1	2	0	1	1	0	2	3	2	1	0	1	1	0
"Tacstd2"	0	2	1	1	0	0	18	0	3	69	0	6	0	5
"Tada1"	104.144	147.996	95.3188	95.0642	75.4346	68.2732	86.2393	137.129	99.772	80.4019	75.2519	90.1671	101.442	91.1348
"Tada2a"	297.8007	442.351	295.86793	291.568	212.51361	276.39563	266.6818	343.66155	196.99964	260.9135	233.3703	275.84603	257.2635	299.16699
"Tada2b"	270.1755	662.8979	324.1106	249.334	350.5351	330.7167	288.3052	291.5651	204.654	253.7481	324.5177	288.5149	299.1902	334.8679
"Tada3"	149.46633	250.6322	123.4030126	187.1872	141.335709	126.1404	105.14797	153.43582	186.45451	111.01633	82.81467	124.6288	126.42474	115.73629
